year,global_avg_temp,Riyadh_avg_temp,global_moving_avg(5),Riyadh_moving_avg(5),global_moving_avg(10),Riyadh_moving_avg(10)
1750,8.72,,,,,
1751,7.98,,,,,
1752,5.78,,,,,
1753,8.39,,,,,
1754,8.47,,7.868,,,
1755,8.36,,7.796,,,
1756,8.85,,7.97,,,
1757,9.02,,8.618,,,
1758,6.74,,8.288,,,
1759,7.99,,8.192,,8.03,
1760,7.19,,7.958,,7.877,
1761,8.77,,7.942,,7.956,
1762,8.61,,7.86,,8.239,
1763,7.5,,8.012,,8.15,
1764,8.4,,8.094,,8.143,
1765,8.25,,8.306,,8.132,
1766,8.41,,8.234,,8.088,
1767,8.22,,8.156,,8.008,
1768,6.78,,8.012,,8.012,
1769,7.69,,7.87,,7.982,
1770,7.69,,7.758,,8.032,
1771,7.85,,7.646,,7.94,
1772,8.19,,7.64,,7.898,
1773,8.22,,7.928,,7.97,
1774,8.77,,8.144,,8.007,
1775,9.18,,8.442,,8.1,
1776,8.3,,8.532,,8.089,
1777,8.26,,8.546,,8.093,
1778,8.54,,8.61,,8.269,
1779,8.98,,8.652,,8.398,
1780,9.43,,8.702,,8.572,
1781,8.1,,8.662,,8.597,
1782,7.9,,8.59,,8.568,
1783,7.68,,8.418,,8.514,
1784,7.86,,8.194,,8.423,
1785,7.36,,7.78,,8.241,
1786,8.26,,7.812,,8.237,
1787,8.03,,7.838,,8.214,
1788,8.45,,7.992,,8.205,
1789,8.33,,8.086,,8.14,
1790,7.98,,8.21,,7.995,
1791,8.23,,8.204,,8.008,
1792,8.09,,8.216,,8.027,
1793,8.23,,8.172,,8.082,
1794,8.53,,8.212,,8.149,
1795,8.35,,8.286,,8.248,
1796,8.27,,8.294,,8.249,
1797,8.51,,8.378,,8.297,
1798,8.67,,8.466,,8.319,
1799,8.51,,8.462,,8.337,
1800,8.48,,8.488,,8.387,
1801,8.59,,8.552,,8.423,
1802,8.58,,8.566,,8.472,
1803,8.5,,8.532,,8.499,
1804,8.84,,8.598,,8.53,
1805,8.56,,8.614,,8.551,
1806,8.43,,8.582,,8.567,
1807,8.28,,8.522,,8.544,
1808,7.63,,8.348,,8.44,
1809,7.08,,7.996,,8.297,
1810,6.92,,7.668,,8.141,
1811,6.86,,7.354,,7.968,
1812,7.05,,7.108,,7.815,
1813,7.74,,7.13,,7.739,
1814,7.59,,7.232,,7.614,
1815,7.24,,7.296,,7.482,
1816,6.94,,7.312,,7.333,
1817,6.98,,7.298,,7.203,
1818,7.83,,7.316,,7.223,
1819,7.37,,7.272,,7.252,
1820,7.62,,7.348,,7.322,
1821,8.09,,7.578,,7.445,
1822,8.19,,7.82,,7.559,
1823,7.72,,7.798,,7.557,
1824,8.55,,8.034,,7.653,
1825,8.39,,8.188,,7.768,
1826,8.36,,8.242,,7.91,
1827,8.81,,8.366,,8.093,
1828,8.17,,8.456,,8.127,
1829,7.94,,8.334,,8.184,
1830,8.52,,8.36,,8.274,
1831,7.64,,8.216,,8.229,
1832,7.45,,7.944,,8.155,
1833,8.01,,7.912,,8.184,
1834,8.15,,7.954,,8.144,
1835,7.39,,7.728,,8.044,
1836,7.7,,7.74,,7.978,
1837,7.38,,7.726,,7.835,
1838,7.51,,7.626,,7.769,
1839,7.63,,7.522,,7.738,
1840,7.8,,7.604,,7.666,
1841,7.69,,7.602,,7.671,
1842,8.02,,7.73,,7.728,
1843,8.17,24.74,7.862,24.74,7.744,24.74
1844,7.65,15.45,7.866,20.095,7.694,20.095
1845,7.85,20.82,7.876,20.33666667,7.74,20.33666667
1846,8.55,,8.048,20.33666667,7.825,20.33666667
1847,8.09,,8.062,20.33666667,7.896,20.33666667
1848,7.98,24.56,8.024,20.27666667,7.943,21.3925
1849,7.98,24.8,8.09,23.39333333,7.978,22.074
1850,7.9,24.34,8.1,24.56666667,7.988,22.45166667
1851,8.18,25.03,8.026,24.6825,8.037,22.82
1852,8.1,24.85,8.028,24.716,8.045,23.07375
1853,8.04,24.93,8.04,24.79,8.032,23.0975
1854,8.21,24.72,8.086,24.774,8.088,24.25625
1855,8.11,24.92,8.128,24.89,8.114,24.76875
1856,8,24.57,8.092,24.798,8.059,24.74666667
1857,7.76,24.26,8.024,24.68,8.026,24.698
1858,8.1,25.01,8.036,24.696,8.038,24.743
1859,8.25,24.95,8.044,24.742,8.065,24.758
1860,7.96,24.94,8.014,24.746,8.071,24.818
1861,7.85,24.13,7.984,24.658,8.038,24.728
1862,7.56,23.77,7.944,24.56,7.984,24.62
1863,8.11,24.28,7.946,24.414,7.991,24.555
1864,7.98,25.03,7.892,24.43,7.968,24.586
1865,8.18,25.23,7.936,24.488,7.975,24.617
1866,8.29,24.92,8.024,24.646,8.004,24.652
1867,8.44,25.22,8.2,24.936,8.072,24.748
1868,8.25,25,8.228,25.08,8.087,24.747
1869,8.43,25.3,8.318,25.134,8.105,24.782
1870,8.2,25.02,8.322,25.092,8.129,24.79
1871,8.12,24.73,8.288,25.054,8.156,24.85
1872,8.19,24.87,8.238,24.984,8.219,24.96
1873,8.35,25.24,8.258,25.032,8.243,25.056
1874,8.43,24.98,8.258,24.968,8.288,25.051
1875,7.86,24.43,8.19,24.85,8.256,24.971
1876,8.08,24.89,8.182,24.882,8.235,24.968
1877,8.54,25.47,8.252,25.002,8.245,24.993
1878,8.83,25.51,8.348,25.056,8.303,25.044
1879,8.17,25.24,8.296,25.108,8.277,25.038
1880,8.12,24.8,8.348,25.182,8.269,25.016
1881,8.27,25.63,8.386,25.33,8.284,25.106
1882,8.13,24.66,8.304,25.168,8.278,25.085
1883,7.98,25.19,8.134,25.104,8.241,25.08
1884,7.77,24.8,8.054,25.016,8.175,25.062
1885,7.92,24.98,8.014,25.052,8.181,25.117
1886,7.95,24.98,7.95,24.922,8.168,25.126
1887,7.91,24.81,7.906,24.952,8.105,25.06
1888,8.09,25.13,7.928,24.94,8.031,25.022
1889,8.32,25.52,8.038,25.084,8.046,25.05
1890,7.97,25.07,8.048,25.102,8.031,25.077
1891,8.02,25.39,8.062,25.184,8.006,25.053
1892,8.07,25.22,8.094,25.266,8,25.109
1893,8.06,25.19,8.088,25.278,8.008,25.109
1894,8.16,24.66,8.056,25.106,8.047,25.095
1895,8.15,24.69,8.092,25.03,8.07,25.066
1896,8.21,24.88,8.13,24.928,8.096,25.056
1897,8.29,24.86,8.174,24.856,8.134,25.061
1898,8.18,24.88,8.198,24.794,8.143,25.036
1899,8.4,25.12,8.246,24.886,8.151,24.996
1900,8.5,25.29,8.316,25.006,8.204,25.018
1901,8.54,25.55,8.382,25.14,8.256,25.034
1902,8.3,25.25,8.384,25.218,8.279,25.037
1903,8.22,24.64,8.392,25.17,8.295,24.982
1904,8.09,25.07,8.33,25.16,8.288,25.023
1905,8.23,24.87,8.276,25.076,8.296,25.041
1906,8.38,24.85,8.244,24.936,8.313,25.038
1907,7.95,24.44,8.174,24.774,8.279,24.996
1908,8.19,24.95,8.168,24.836,8.28,25.003
1909,8.18,25.57,8.186,24.936,8.258,25.048
1910,8.22,24.75,8.184,24.912,8.23,24.994
1911,8.18,24.24,8.144,24.79,8.194,24.863
1912,8.17,24.96,8.188,24.894,8.181,24.834
1913,8.3,24.63,8.21,24.83,8.189,24.833
1914,8.59,24.94,8.292,24.704,8.239,24.82
1915,8.59,25.38,8.366,24.83,8.275,24.871
1916,8.23,24.85,8.376,24.952,8.26,24.871
1917,8.02,25.03,8.346,24.966,8.267,24.93
1918,8.13,24.66,8.312,24.972,8.261,24.901
1919,8.38,25.39,8.27,25.062,8.281,24.883
1920,8.36,24.94,8.224,24.974,8.295,24.902
1921,8.57,24.84,8.292,24.972,8.334,24.962
1922,8.41,25.35,8.37,25.036,8.358,25.001
1923,8.42,25.1,8.428,25.124,8.37,25.048
1924,8.51,25.69,8.454,25.184,8.362,25.123
1925,8.53,25,8.488,25.196,8.356,25.085
1926,8.73,25.19,8.52,25.266,8.406,25.119
1927,8.52,25.29,8.542,25.254,8.456,25.145
1928,8.63,25.39,8.584,25.312,8.506,25.218
1929,8.24,25.36,8.53,25.246,8.492,25.215
1930,8.63,25.39,8.55,25.324,8.519,25.26
1931,8.72,25.38,8.548,25.362,8.534,25.314
1932,8.71,24.96,8.586,25.296,8.564,25.275
1933,8.34,24.67,8.528,25.152,8.556,25.232
1934,8.63,24.97,8.606,25.074,8.568,25.16
1935,8.52,25.61,8.584,25.118,8.567,25.221
1936,8.55,25.15,8.55,25.072,8.549,25.217
1937,8.7,25.08,8.548,25.096,8.567,25.196
1938,8.86,25.11,8.652,25.184,8.59,25.168
1939,8.76,25.16,8.678,25.222,8.642,25.148
1940,8.76,25.51,8.726,25.202,8.655,25.16
1941,8.77,25.37,8.77,25.246,8.66,25.159
1942,8.73,25.49,8.776,25.328,8.662,25.212
1943,8.76,24.96,8.756,25.298,8.704,25.241
1944,8.85,25.6,8.774,25.386,8.726,25.304
1945,8.58,25.3,8.738,25.344,8.732,25.273
1946,8.68,25.49,8.72,25.368,8.745,25.307
1947,8.8,26,8.734,25.47,8.755,25.399
1948,8.75,24.85,8.732,25.448,8.744,25.373
1949,8.59,24.82,8.68,25.292,8.727,25.339
1950,8.37,24.98,8.638,25.228,8.688,25.286
1951,8.63,26.1,8.628,25.35,8.674,25.359
1952,8.64,25.72,8.596,25.294,8.665,25.382
1953,8.87,25.51,8.62,25.426,8.676,25.437
1954,8.56,25.8,8.614,25.622,8.647,25.457
1955,8.63,25.33,8.666,25.692,8.652,25.46
1956,8.28,25.02,8.596,25.476,8.612,25.413
1957,8.73,24.69,8.614,25.27,8.605,25.282
1958,8.77,25.64,8.594,25.296,8.607,25.361
1959,8.73,24.14,8.628,24.964,8.621,25.293
1960,8.58,25.67,8.618,25.032,8.642,25.362
1961,8.8,25.12,8.722,25.052,8.659,25.264
1962,8.75,26.1,8.726,25.334,8.67,25.302
1963,8.86,25.54,8.744,25.314,8.669,25.305
1964,8.41,25.14,8.68,25.514,8.654,25.239
1965,8.53,25.59,8.67,25.498,8.644,25.265
1966,8.6,26.16,8.63,25.706,8.676,25.379
1967,8.7,24.87,8.62,25.46,8.673,25.397
1968,8.52,25.21,8.552,25.394,8.648,25.354
1969,8.6,26.05,8.59,25.576,8.635,25.545
1970,8.7,25.84,8.624,25.626,8.647,25.562
1971,8.6,24.93,8.624,25.38,8.627,25.543
1972,8.5,24.74,8.584,25.354,8.602,25.407
1973,8.95,25.6,8.67,25.432,8.611,25.413
1974,8.47,25.4,8.644,25.302,8.617,25.439
1975,8.74,25.04,8.652,25.142,8.638,25.384
1976,8.35,24.97,8.602,25.15,8.613,25.265
1977,8.85,25.99,8.672,25.4,8.628,25.377
1978,8.69,25.95,8.62,25.47,8.645,25.451
1979,8.73,26.2,8.672,25.63,8.658,25.466
1980,8.98,25.83,8.72,25.788,8.686,25.465
1981,9.17,25.95,8.884,25.984,8.743,25.567
1982,8.64,24.62,8.842,25.71,8.757,25.555
1983,9.03,24.85,8.91,25.49,8.765,25.48
1984,8.69,25.05,8.902,25.26,8.787,25.445
1985,8.66,25.3,8.838,25.154,8.779,25.471
1986,8.83,25.36,8.77,25.036,8.827,25.51
1987,8.99,26.37,8.84,25.386,8.841,25.548
1988,9.2,25.99,8.874,25.614,8.892,25.552
1989,8.92,25.05,8.92,25.614,8.911,25.437
1990,9.23,25.7,9.034,25.694,8.936,25.424
1991,9.18,25.43,9.104,25.708,8.937,25.372
1992,8.84,24.37,9.074,25.308,8.957,25.347
